Reference,Qty, Value, Footprint, Field4,Link
C1 C5 ,2,0.1uF,Capacitors:0603,,
C2 ,1,0.01uF,Capacitors:0603,,
C3 ,1,10uF,Capacitors:0805,CAP-11330,
C4 ,1,100pF,Capacitors:0603,CAP-07883,
D1-40,40,Yellow,LED:LED-0603,XXX-00000,
FB1 FB2 ,2,BLM18KG221SN1D,Coils:0603,NDUC-07859,
H1 H2 ,2,STAND-OFF,STAND-OFF,XXX-00000,
J1 J2 ,2,CONN_12,Matrix_Bot_Tie:1X12_SMD_MALE,XXX-00000,
MK1 ,1,MIC-PTH,Silicon-Custom:MICROPHONE-PTH-9.7MM,COMP-08856,
Q1-4,4,TRANS_NPN_DUAL-MBT3904DW1T1,Silicon-Standard:SC70-6,TRANS-13337,
R17-21,5,51,Resistors:0603,,
R1 R2 R4 ,3,1k,Resistors:0603,RES-07856,
R3 R5 ,2,1M,Resistors:0603,RES-07868,
R6 ,1,22k,Resistors:0603,RES-07853,
R7 R8 ,2,10K,Resistors:0603,RES-00824,
R9-16,8,470,Resistors:0603,RES-07869,
S1 ,1,MOMENTARY-SWITCH-SPST-2-SMD-4.6X2.8MM,Switches:TACTILE_SWITCH_SMD_4.6X2.8MM,SWCH-13065,
U1 ,1,MAX4466,Matrix_Bot_Tie:SC70-5,,
U2 ,1,74HC4051-SOIC16,Matrix_Bot_Tie:SOIC-16,,
VR1 ,1,100k,Matrix_Bot_Tie:TC33X,,
